STT ,CHỨC NĂNG / HỆ THỐNG,Loại câu hỏi,Câu Hỏi,,Trả lời,,
,IATA SIS,,"Billing trong SIS có cần xuất hóa đơn không?
 - Nếu có:
     - Xuất cho ai?
           - Hãng đối tác?
           - Nội bộ (ITL)?
     - Thời điểm xuất:
           - Ngay khi lập billing?
           - Khi clearing/settlement?
     - Hóa đơn:
           - Theo từng billing?
           - Hay tổng hợp theo kỳ?",,"Billing trong SIS có cần xuất hóa đơn không? - Khi upload dữ liệu billing được generate từ 3 hệ thống (PRA - PAX, SIS M - MISC, CRA - Cargo) lên SIS, SIS sẽ tự động tạo hóa đơn theo đúng form TCT đã đăng ký với CQT. Khi truyền dữ liệu lên CQT, CT hóa đơn thực hiện thay thế số hóa đơn và Invoice Date mới, ký số và đẩy lên CQT.
 - Nếu có:
     - Xuất cho ai? - Hãng đối tác
     - Thời điểm xuất: Advice Day (theo lịch ICH hàng năm) - ngày SIS chốt dữ liệu và thông báo tổng công nợ về từng hãng, Advice Day được dùng làm Invoice Date cho toàn bộ HĐ ký số trong kỳ
     - Hóa đơn: Theo từng billing được generate từ 3 hệ thống nêu trên",,
32,,,"SIS sử dụng:
     - bao nhiêu loại currency?
Tỷ giá:
     -lấy theo SIS?
     -hay hệ nội bộ?
Hóa đơn xuất theo:
     -currency nào?",,"SIS sử dụng:
     - bao nhiêu loại currency? - USD
Tỷ giá:
     - hệ nội bộ =  tỷ giá quy đổi USD sang VND để ghi sổ, lấy theo Advice Day của kỳ, nguồn dữ liệu Internal Booking Rate (IBR) trên PRA
Hóa đơn xuất theo:
     -currency nào? - USD đối với hóa đơn đòi đối tác nước ngoài, VND đối với hóa đơn đòi BL (không phát sinh nữa)",,
,,,"HẠCH TOÁN KẾ TOÁN
     - SIS có hạch toán tự động không?
     - Mapping tài khoản:
          - theo loại billing?
Có lệch giữa:
     - SIS ↔ kế toán?",,"HẠCH TOÁN KẾ TOÁN
     - SIS có hạch toán tự động không? - không, SIS chỉ tính tổng công nợ cho từng hãng, TCKT tự ghi sổ
     - Mapping tài khoản:
          - theo loại billing? - mỗi loại billing tương ứng với 1 tài khoản GAS
Có lệch giữa:
     - SIS ↔ kế toán?  - có chênh lệch tiền USD do làm tròn, không có chênh lệch tiền VND (SIS-GAS) do SIS không sử dụng VND",,
,,,Hiện tại có cơ chế nào đảm bảo toàn bộ billing trong từng kỳ SIS được đối soát đầy đủ và đồng bộ với hệ kế toán và hóa đơn chưa?,,"- Đối soát giữa SIS và hệ kế toán: quy trình thủ công - các chuyên viên đổ hóa đơn kiểm tra đúng số lượng hóa đơn và đúng số tiền khi đổ và khi ghi sổ, giải quyết các lỗi phát sinh ngay lập tức nếu có
- Đối soát giữa SIS và xuất hóa đơn: quy trình thủ công - các chuyên viên xuất hóa đơn dùng Form 1 - Final (danh sách tổng hợp hóa đơn tự động của SIS) làm template đổ vào CT hóa đơn, nếu trong CT có chênh lệch, chuyên viên kiểm tra và sửa hệ thống để đảm bảo tất cả hóa đơn trong Form 1 được đẩy vào CT",,
,,,Các billing trong SIS hiện đang phát sinh hóa đơn đối với những loại nghiệp vụ nào? Có phải toàn bộ billing trong SIS đều phải phát hành hóa đơn hay chỉ một số loại billing nhất định?,HUNGTH,,,
,,,Trạng thái nào trong SIS được xem là đủ điều kiện phát hành hóa đơn?,HUNGTH,,,
33,,,"Một billing record trong SIS tương ứng với: 1 hóa đơn hay Nhiều hóa đơn ?
Một hóa đơn có thể tổng hợp nhiều billing record trong cùng kỳ SIS không?",HUNGTH,,,
,,,"Sau khi billing được gửi sang SIS và được chấp nhận, dữ liệu có còn thay đổi không? Nếu có thì hướng xử lí nghiệp vụ hóa đơn là gì ? Điều chỉnh hay Thay thế ?",HUNGTH,,,
34,,,,,,,
35,,,"Lập báo cáo kê khai thuế GTGT hàng tháng theo mẫu hiện hành và đối soát dữ liệu hóa đơn-kế toán-kê khai thuế
=> CẦN LÀM RÕ",,"Có, là mục tiêu của Hệ thống hóa đơn mới",,
,,,"Kỳ xem báo cáo hiện tại? Nhu cầu export báo cáo
=> CẦN LÀM RÕ",,"Có, các báo cáo xem theo tháng, cần export",,
,,,"Chức năng đối soát giữa số liệu hóa đơn, dữ liệu truyền lên CQT và số liệu ghi sổ kế toán được kỳ vọng sẽ chạy đối soát theo thời gian thực, chạy liên tục trong ngày, hay chỉ chạy chốt số liệu vào cuối kỳ (cuối ngày/tháng)?",TUNGNT,Đối soát theo ngày hoặc tháng tùy thuộc vào từng mẫu báo cáo đối soát,,
,,,"Với gần 20 mẫu hóa đơn điện tử đang áp dụng, các mẫu này có sự khác biệt lớn về mặt cấu trúc dữ liệu nền tảng hay bản chất chỉ là sự khác nhau về giao diện hiển thị. Có hình ảnh mẫu từng loại hay không?",TUNGNT,"Có 20 mẫu nhưng thực chất chỉ có khoảng gần 10 mẫu khác nhau về cấu trúc và nền tảng. Còn lại chủ yếu là giống nhau (giống HĐ phòng vé), chỉ khác về ký hiệu HĐ để phân biệt HĐ xuất ở phòng vé của VNA hay của các công ty dịch vụ có hợp đồng xuất vé với VNA",,
,,,"VNA có cung cấp sẵn tài liệu đặc tả API chuẩn (ví dụ: collection test) cho các hệ thống nguồn như PRA, CRA, GAS không?",TUNGNT,,,
,,,"Do hệ thống cần đối soát khối lượng rất lớn và lưu trữ tới 10 năm, VNA có yêu cầu cụ thể nào về tốc độ tra cứu các hóa đơn/MCO cũ không?",TUNGNT,"- HĐ lưu trữ dữ liệu trong vòng 10 năm. Lưu trữ online trong 5 năm.
- Tốc độ tra cứu 2-3 giây/lệnh tra cứu",,
,,,"Trong trường hợp tích hợp, Anh chị thao tác xuất hóa đơn trên các hệ thống Receipt (vé hành khách, MCO, EMD…) /  Cargo Receipt (hàng hóa)/  GAS (thu khác)/Online (TMĐT)/Đại lý (BSP) /IATA SIS đúng ko ?",HUNGTH,,,
,,,Có phát sinh nghiệp vụ điều chỉnh hóa đơn? thay thế hóa đơn từ các hệ thống trên hay không? ,HUNGTH,,,
,,,"Một giao dịch trên các hệ thống  trên tương ứng một hóa đơn hay đúng không ?
Có trường hợp gộp nhiều giao dịch thành một hóa đơn hay ko ?
Có trường hợp một giao dịch tách thành nhiều hóa đơn?",HUNGTH,,,
,,,"Sau khi phát sinh giao dịch, hóa đơn được xuất ngay lập tức/ cuối ngày/ cuối tháng / hay theo nhu cầu của user",HUNGTH,,,
,,,Khi xuất hóa đơn anh chị đang Xuất từng hóa đơn / Xuất hàng loạt /Cả hai ?,HUNGTH,,,
,Báo cáo kê khai thuế,,,"Hiện nay Hành khách, hàng hóa,ITL đang kê khai theo số hạch toán trên sổ kế toán GAS, số thuế chạy phát sinh của tài khoản VAT, doanh số lấy theo báo cáo bán và phát sinh các tài khoản thuế phí. Tách manual các khoản include VAT như YR,YQ, phí đổi vé, phụ phí soi chiếu an ninh và phí AWB hàng hóa quốc tế.
Gas và Bưu kiện: kê khai theo hóa đơn đã xuất
Ctrinh mới: sẽ kê khai báo cáo VAT theo mẫu hiện hành theo hóa đơn đã xuất đối với thị trường trong nước. Đối với thị trường nước ngoài kê khai theo báo cáo bán","Vận tải Hàng không: Đỗ Thúy Hồng
Doanh thu khác: Hồ Xuân Tam","Vận tải HK: Phạm Thu Hằng
Vận tải Hàng hóa: Hoàng Tuấn Việt
ITL: Nguyễn Huyền Linh
GAS: Nguyễn Tuyết Liên",
36,"Đối soát số liệu giữa hóa đơn xuất ra với số ghi sổ (Đây là chức năng mới hoàn toàn, chưa từng có hệ thống đối soát nào và cũng thực hiện việc đối soát bao giờ)",,,,"1. Hóa đơn hành khách
- Sau khi đóng sổ trên hệ thống PRA, đổ toàn bộ dữ liệu ghi sổ (Accounting table) vào chương trình HĐ để đối soát với HĐ đã xuất:
+ Chức năng đổ dữ liệu tự động
+ Chức năng đổ dữ liệu manual theo lựa chọn: Ngày, module...
--> Có báo cáo kết quả sau khi đổ để đối chiếu với dữ liệu gốc trên PRA
- Căn cứ vào các điều kiện nhận diện đã được định nghĩa để đưa ra các vé có chênh lệch, lý do chênh lệch, cách xử lý…
+ Đối với các chênh lệch cần điều chỉnh sổ kế toán: Tạo bút toán theo template để user thực hiện upload vào PRA, sau đó đổ lại vào CTHĐ để giảm các vé có chênh lệch.
+ Đối với các vé không điều chỉnh sổ kế toán: Chọn nội dung xử lý tương tứng trên CTHĐ để giảm các vé có chênh lệch (VD: Lệch kỳ, chênh lệch khi xử lý chứng từ hoàn, đổi...)
--> Yêu cầu monng muốn: Khi không còn vé trên báo cáo chênh lệch thì mới thực hiện chạy được báo cáo kê khai thuế GTGT",Ngô Kim Lan (lannkim@vietnamairlines.com),
,,,,,"2. Hóa đơn hàng hóa, bưu kiện
- Nguốn dữ liệu ghi sổ: Hệ thống CRA
- Quy trình và các chức năng tương tự HĐ HK",,
,,,,,"3. Hóa đơn Interlines (IATA SIS)
- Nguốn dữ liệu ghi sổ: Hệ thống PRA, CRA, SISM
- Quy trình và các chức năng tương tự HĐ HK, HH",,
